,elevation,lat,lon,time
0,47.4,51.54514,-0.201603,2015-03-14 14:56:01
1,47.4,51.54515,-0.201543,2015-03-14 14:56:04
2,47.2,51.545149,-0.201421,2015-03-14 14:56:10
3,47.3,51.545159,-0.201507,2015-03-14 14:56:16
4,47.4,51.545124,-0.201548,2015-03-14 14:56:19
5,47.4,51.545098,-0.20158,2015-03-14 14:56:21
6,47.4,51.54507,-0.201591,2015-03-14 14:56:25
7,47.3,51.544973,-0.201531,2015-03-14 14:56:53
8,47.3,51.54494,-0.201518,2015-03-14 14:56:54
9,47.3,51.544907,-0.201506,2015-03-14 14:56:55
10,47.3,51.544873,-0.201489,2015-03-14 14:56:56
11,47.3,51.544842,-0.201464,2015-03-14 14:56:57
12,47.2,51.544811,-0.201435,2015-03-14 14:56:58
13,47.2,51.544782,-0.201405,2015-03-14 14:56:59
14,47.1,51.544757,-0.201372,2015-03-14 14:57:00
15,47.1,51.544732,-0.201339,2015-03-14 14:57:01
16,47.1,51.544704,-0.201309,2015-03-14 14:57:02
17,47.0,51.544673,-0.20128,2015-03-14 14:57:03
18,47.0,51.544641,-0.201255,2015-03-14 14:57:04
19,47.0,51.544608,-0.201225,2015-03-14 14:57:05
20,47.0,51.544575,-0.201189,2015-03-14 14:57:06
21,47.0,51.544543,-0.201149,2015-03-14 14:57:07
22,46.9,51.544515,-0.201107,2015-03-14 14:57:08
23,46.9,51.544485,-0.201067,2015-03-14 14:57:09
24,46.8,51.544453,-0.20103,2015-03-14 14:57:10
25,46.8,51.544422,-0.200991,2015-03-14 14:57:11
26,46.8,51.544388,-0.200954,2015-03-14 14:57:12
27,46.7,51.544353,-0.200918,2015-03-14 14:57:13
28,46.7,51.544317,-0.200884,2015-03-14 14:57:14
29,46.6,51.54428,-0.200847,2015-03-14 14:57:15
30,46.6,51.544244,-0.200809,2015-03-14 14:57:16
31,46.5,51.544208,-0.200771,2015-03-14 14:57:17
32,46.5,51.544172,-0.200734,2015-03-14 14:57:18
33,46.5,51.544134,-0.200696,2015-03-14 14:57:19
34,46.4,51.544096,-0.200657,2015-03-14 14:57:20
35,46.4,51.544059,-0.200618,2015-03-14 14:57:21
36,46.3,51.544024,-0.200578,2015-03-14 14:57:22
37,46.3,51.543988,-0.200538,2015-03-14 14:57:23
38,46.2,51.543954,-0.200497,2015-03-14 14:57:24
39,46.2,51.54392,-0.200458,2015-03-14 14:57:25
40,46.2,51.543886,-0.200418,2015-03-14 14:57:26
41,46.1,51.543851,-0.200377,2015-03-14 14:57:27
